photon_spacing,g2
2.81E-09,0.879550495
3.58E-09,0.901861405
4.61E-09,0.929843069
5.63E-09,0.955839869
7.17E-09,0.991319768
9.21E-09,1.032661624
1.13E-08,1.068017383
1.43E-08,1.111617901
1.84E-08,1.155733712
2.25E-08,1.187792406
2.87E-08,1.220146032
3.69E-08,1.244781031
4.51E-08,1.257507356
5.73E-08,1.265794416
7.37E-08,1.26877767
9.01E-08,1.268904733
1.15E-07,1.267979357
1.47E-07,1.266638105
1.80E-07,1.265507397
2.29E-07,1.264128453
2.95E-07,1.262674222
3.60E-07,1.261500451
4.59E-07,1.260074664
5.90E-07,1.258570702
7.21E-07,1.257356057
9.18E-07,1.255879531
1.18E-06,1.254320466
1.44E-06,1.25305987
1.84E-06,1.251525362
2.36E-06,1.249901991
2.88E-06,1.248586585
3.67E-06,1.246981237
4.72E-06,1.245276954
5.77E-06,1.243890556
7.34E-06,1.24219064
9.44E-06,1.240374531
1.15E-05,1.23888682
1.47E-05,1.237047686
1.89E-05,1.235061386
2.31E-05,1.233415041
2.94E-05,1.231352271
3.77E-05,1.229085617
4.61E-05,1.22717278
5.87E-05,1.224728301
7.55E-05,1.221976595
9.23E-05,1.219598735
0.000117441,1.216485153
0.000150995,1.212882797
0.000184549,1.209692652
0.000234881,1.205420443
0.00030199,1.200367961
0.000369099,1.195821103
0.000469762,1.189665957
0.00060398,1.182349102
0.000738198,1.175780733
0.000939524,1.166980399
0.00120796,1.156736337
0.001476395,1.147795945
0.001879048,1.136249897
0.002415919,1.123473025
0.00295279,1.112914352
0.003758096,1.100079196
0.004831838,1.086881031
0.00590558,1.076722635
0.007516193,1.065220243
0.009663676,1.054285193
0.01181116,1.04643584
0.015032386,1.038097224
0.019327353,1.030671611
0.02362232,1.025622854
0.030064771,1.020502155
0.038654706,1.01614247
0.04724464,1.01328173
0.060129542,1.010463137
0.077309411,1.008127814
0.094489281,1.006627155
0.120259084,1.005173064
0.154618823,1.003986729
0.188978561,1.003233315
0.240518169,1.002510064
0.309237645,1.001925078
0.377957122,1.001556034
0.481036337,1.001203659
0.618475291,1.000920094
0.755914244,1.000741922
0.962072674,1.000572367
1.236950581,1.000436374
1.511828488,1.000351161
1.924145349,1.000270266
2.473901162,1.000205547
3.023656976,1.000165083
3.848290697,1.00012675
4.947802325,1.00009615
